Rank,Topic ID,Topic label,Broad theme,Documents,Proportion of valid documents (%),Representative keywords
21,20,Avian influenza and influenza viruses,Infectious disease and virology,842,2.25,"influenza, avian influenza, influenza virus, h5n1, avian, h9n2, viruses, influenza viruses, aiv, poultry"
22,21,Bovine mastitis and udder health,Production animal health,783,2.09,"mastitis, aureus, milk, bovine mastitis, scc, staphylococcus, imi, staphylococcus aureus, intramammary, udder"
23,22,Rumen fermentation and cattle nutrition,Nutrition and production physiology,761,2.03,"rumen, fermentation, ruminal, cows, digestibility, fatty, methane, ch4, dairy cows, ketosis"
24,23,Companion-animal viral infections,Companion animal infectious disease,677,1.81,"cpv, sars, sars cov, cdv, cov, fiv, feline, fip, felv, fcv"
25,24,Porcine bacterial respiratory diseases,Bacterial infection,673,1.8,"multocida, parasuis, pleuropneumoniae, suis, haemolytica, pasteurella, pasteurella multocida, streptococcus suis, actinobacillus, actinobacillus pleuropneumoniae"
26,25,"Obesity, diabetes, and insulin-related metabolic disorders",Metabolic disease,614,1.64,"obesity, obese, diabetes, insulin, overweight, fecal, diabetic, diabetes mellitus, microbiota, mellitus"
27,26,Piglet gut microbiota and weaning-related health,Gut health and microbiota,563,1.5,"piglets, gut, microbiota, weaned, intestinal, weaned piglets, diet, gut microbiota, supplementation, dietary"
28,27,Mycoplasma infections in animals,Bacterial infection,561,1.5,"mycoplasma, hyopneumoniae, bovis, synoviae, mycoplasma bovis, mycoplasma hyopneumoniae, gallisepticum, mycoplasma gallisepticum, mycoplasma synoviae, mycoplasmas"
29,28,Ectoparasite control and acaricidal activity,Parasitology and vector control,462,1.23,"microplus, acaricidal, rhipicephalus, gallinae, culicoides, tick, acaricides, ticks, engorged, thymol"
30,29,Respiratory ventilation and airway management,Clinical medicine and anaesthesia,455,1.21,"ventilation, airway, pao2, oxygen, cmh2o, brachycephalic, expiratory, arterial, breathing, oxygenation"
31,30,"Ovarian function, oocytes, and embryo technologies",Reproduction and biotechnology,432,1.15,"oocytes, ovarian, embryos, estrus, follicular, gnrh, ovulation, embryo, oocyte, pregnancy"
32,31,Equine herpesvirus and West Nile virus,Equine infectious disease,429,1.15,"ehv, wnv, equine, equine herpesvirus, west nile, equine influenza, nile virus, herpesvirus, nile, west"
33,32,Antimicrobial use and stewardship,Antimicrobial use and stewardship,421,1.12,"amu, antimicrobial, antimicrobial use, antimicrobials, amr, antibiotic, antibiotic use, antibiotics, stewardship, prescription"
34,33,Pancreatitis and inflammatory bowel disease,Clinical medicine and gastroenterology,416,1.11,"pancreatitis, pancreatic, lipase, ibd, ple, enteropathy, gallbladder, gbm, cie, cpl"
35,34,"Hematology, transfusion, and sepsis",Clinical medicine and critical care,414,1.1,"platelet, transfusion, imha, sepsis, dea, clopidogrel, teg, coagulation, platelets, immune mediated"
36,35,Mesenchymal stem cells and regenerative medicine,Regenerative medicine,413,1.1,"mscs, stem, mesenchymal, stem cells, msc, mesenchymal stem, synovial, cartilage, synovial fluid, oa"
37,36,Brucellosis,Zoonotic bacterial disease,409,1.09,"brucella, brucellosis, abortus, melitensis, brucella abortus, bovine brucellosis, brucella spp, brucella melitensis, biovar, rbt"
38,37,Semen quality and reproductive physiology,Reproduction and physiology,355,0.95,"sperm, semen, spermatozoa, motility, sperm quality, cryopreservation, sperm motility, integrity, fertility, seminal"
39,38,Leishmaniasis,Parasitology and zoonosis,351,0.94,"leishmania, infantum, leishmaniasis, leishmania infantum, leishmaniosis, visceral, vl, canine leishmaniosis, canine visceral, infected dogs"
40,39,Echinococcosis and cestode infections,Parasitology and zoonosis,341,0.91,"echinococcus, granulosus, echinococcosis, multilocularis, cysticercosis, taenia, echinococcus granulosus, cysts, cystic echinococcosis, hydatid"
41,40,Cryptosporidium and Giardia infections,Parasitology,332,0.89,"cryptosporidium, giardia, parvum, cryptosporidium spp, assemblage, cryptosporidiosis, cryptosporidium parvum, assemblages, oocysts, ssu"
42,41,Heartworm and Dirofilaria infections,Parasitology,330,0.88,"immitis, heartworm, dirofilaria, dirofilaria immitis, flea, repens, microfilariae, fleas, infestations, fipronil"
43,42,Methicillin-resistant Staphylococcus and antimicrobial resistance,Antimicrobial resistance,322,0.86,"mrsa, methicillin, staphylococcus, methicillin resistant, mrsp, pseudintermedius, aureus, resistant staphylococcus, staphylococcus aureus, spa"
44,43,Equine airway disease and asthma,Equine medicine,314,0.84,"airway, asthma, balf, laryngeal, equine asthma, horses, bronchoalveolar, bal, bronchoalveolar lavage, rao"
45,44,Zoonotic and companion-animal parasitic infections,Parasitology and zoonosis,312,0.83,"bieneusi, vasorum, parasites, trichuris, angiostrongylus, abstrusus, enterocytozoon, enterocytozoon bieneusi, angiostrongylus vasorum, vulpis"
46,45,"Genomic traits, growth, and production performance",Genetics and production traits,302,0.81,"traits, muscle, fat, muscle development, candidate genes, fat deposition, mir, growth traits, genome wide, deposition"
